"Kod";"Nazwa";"Małżeńskie/pozamałżeńskie";"Miasta / wieś";"Płeć dziecka";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";20764;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";19853;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";20031;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";19190;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";19840;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";20900;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";19866;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";19342;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";18013;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";16709;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";15061;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";13522;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";20826;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";21261;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";20794;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";21346;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";21496;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";21795;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";23009;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";22964;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";22635;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";21363;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";21214;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";19738;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";19828;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";19715;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";19666;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";20898;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";20101;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";19286;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";18034;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";16641;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";15218;"-";"";
0600000;"LUBELSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";13492;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";9440;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";9279;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";9857;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";9915;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";10423;"-";"";
