"Kod";"Nazwa";"Małżeńskie/pozamałżeńskie";"Miasta / wieś";"Płeć dziecka";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";11971;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";12736;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";12741;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";12445;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";11600;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";11510;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";10720;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";10756;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";10579;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";10610;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";10915;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";10721;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";10220;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";9488;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";8717;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";8157;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";7238;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";14802;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";14496;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";14513;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";14776;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";15094;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";15616;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";16339;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";16538;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";15771;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";14750;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";14330;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";13624;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";13958;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";13121;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";13443;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";14533;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";13687;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";12911;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";12108;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";10539;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";9913;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";8487;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";33113;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";33427;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";33575;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";35299;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";36440;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";38114;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";40925;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";40882;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";40909;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";38082;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";37833;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";36561;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";37000;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";36760;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";38237;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";40450;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";38778;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";37459;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";35885;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";33512;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";30478;"-";"";
3000000;"WIELKOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";27532;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";15717;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";15696;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";15926;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";16108;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";16411;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";17108;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";18191;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";17848;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";17340;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";16002;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";15970;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";15425;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";15530;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";15088;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";15688;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";16276;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";15389;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";14614;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";13730;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";12850;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";11654;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";10447;"-";"";
