"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"ogółem";"2006";223,91;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";240,09;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";322,91;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";441,83;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";351,68;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";412,38;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";387,73;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";481,28;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";690,21;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";625,47;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";344,27;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2017";403,38;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2018";441,03;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2019";584,29;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2020";439,22;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2021";576,96;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2022";556,96;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2023";699,12;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2002";171;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2003";163;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2004";191;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2005";238;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2006";305,33;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2007";331,67;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2008";337,14;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2009";769,95;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2010";501,86;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2011";490,87;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2012";436,68;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2013";565,75;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2014";514,53;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2015";482,00;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2016";379,79;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2017";469,30;"zł";"";
