"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";45205490;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";77638290,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";101113687,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";77780455,10;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";62629410,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";46265408,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";17568734,95;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";15998667,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";14177075,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";21963876,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";94548002,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";50434281,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";43943721,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";53342626,17;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";71042536,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";158030804,03;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";207346786,53;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";180862040,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";203681863,49;"zł";"";
0600000;"LUBELSKIE";"ogółem";"1999";22199117;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2000";38925521;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2001";46737526;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";25447375;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";34536788;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";33488483;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";31109046;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2006";50546759,73;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";66095373,25;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";66569751,69;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";85910740,85;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";46364364,83;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";57911560,93;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";46939286,73;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";69818676,76;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";78313027,90;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";126474362,13;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";70801134,14;"zł";"";
