"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1600000;"OPOLSKIE";"rok";"w miastach";"kobiety";"2023";260103;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"mężczyźni";"2019";225939;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"mężczyźni";"2020";220832;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"mężczyźni";"2021";220071;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"mężczyźni";"2022";219348;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"mężczyźni";"2023";218605;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"kobiety";"2019";233539;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"kobiety";"2020";226396;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"kobiety";"2021";225417;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"kobiety";"2022";224624;"osoba";"";
1600000;"OPOLSKIE";"rok";"na wsi";"kobiety";"2023";224091;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"mężczyźni";"2019";421352;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"mężczyźni";"2020";412087;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"mężczyźni";"2021";410449;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"mężczyźni";"2022";407799;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"mężczyźni";"2023";405265;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"kobiety";"2019";459257;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"kobiety";"2020";450421;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"kobiety";"2021";448760;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"kobiety";"2022";446428;"osoba";"";
1800000;"PODKARPACKIE";"rok";"w miastach";"kobiety";"2023";443896;"osoba";"";
